name,addr,city,state,zip,phn,lng,lat
Acculturation For Justice Access and Peace Outreach,2900 Bedford Avenue,Pittsburgh,PA,15219,412-391-4985,-79.96769,40.45274
African Community Resource Center,"3540 Wilshire Blvd., Suite 321",Los Angeles,CA,90010,213-637-1450,-118.3017,34.06173
Agency for New Americans,1614 W. Jefferson St.,Boise,ID,83702,208-338-9950,-116.2133298,43.6232727
Alliance for African Assistance,5952 El Cajon Boulevard,San Diego,CA,92115,619-286-9052,-117.06945,32.76021
Alliance for Multicultural Community Services,"6440 Hillcroft St, Suite 411",Houston,TX,77081,,-95.49461,29.71277
American Civic Association Inc.,131 Front Street,Binghamton,NY,13905,607-723-9419,-75.917206,42.099728
Arizona Immigrant and Refugee Services ,"10240 North 31st Ave, Suite 112",Phoenix,AZ,85051,602-944-1821,-112.1280452,33.5798607
Arrive Ministries,1515 East 66th Street,Richfield,MN,55423,612-798-4332,-93.25366,44.883488
Ascentria,593 Main Street,West Springfield,MA,1089,413-787-0725,-72.610029,42.1018634
Ascentria,11 Shattuck Street,Worcester,MA,1608,774-243-3100,-71.78844,42.285927
Ascentria Care Alliance,"261 Sheep Davis Road, Suite A-1",Concord,NH,3301,603-224-8111,-71.483246,43.21718
Bethany Christian Services - PARA,"1050 36th Street SE, Suite 400",Grand Rapids,MI,49508,616-965-8073,-85.64328,42.8983
Bridge Refugee Services Inc.,"4791 Hal Drive, Suite A",Chattanooga,TN,37416,423-954-1911,-85.19053,35.08552
Bridge Refugee Services Inc.,"7035 Middlebrook Pike, Suite A",Knoxville,TN,37909,865-540-1311,-84.0335943,35.9439751
CAMBA,"1720 Church Ave., 2nd Floor",Brooklyn,NY,11226,718-282-2500,-73.96382,40.649143
Caritas of Austin,611 Neches Street,Austin,TX,78701,,-97.73819,30.266933
Carolina Refugee Resettlement Agency,"5007 Monroe Road, Suite 101",Charlotte,NC,28205,704-535-8803,-80.77734,35.19153
Catholic Charities,2740 Se Powell Blvd. #8 3rd Floor,Portland,OR,97202,503.688.2680,-122.6401321,45.4975238
Catholic Charities,433 Jefferson Street,Oakland,CA,94607,510-768-3106,-122.278786,37.799362
Catholic Charities,1450 North D Street,San Bernardino,CA,92405,909-388-1243 x217,-117.29194,34.126427
Catholic Charities,4575-A Mission Gorge Place,San Diego,CA,92120,619-287-9454 x106,-117.096054,32.78296
Catholic Charities,202 W. French Place,San Antonio,TX,78212,,-98.4983978,29.449568
Catholic Charities,"1501 N Classen Blvd., Suite 301",Oklahoma City,OK,73106,405-523-3002,-97.5326335,35.4838983
Catholic Charities,2450 North Harvard,Tulsa,OK,74115,918-949-4673,-95.9433229,36.1896018
Catholic Charities,601 Grand Avenue,Des Moines,IA,50309,515-237-5068,-93.62544,41.58773
Catholic Charities,"420 6th Street, Se",Cedar Rapids,IA,52401,319-538-2853,-91.67752,41.97123
Catholic Charities,"200 North Congress St., Suite 100",Jackson,MS,39201,601-326-3742,-90.182724,32.300785
Catholic Charities,651 W. Lake Street,Chicago,IL,60661,312-655-7856,-87.6469594,41.8853871
Catholic Charities,2220 West Market Street,Louisville,KY,40212,502-636-9263,-85.787766,38.258663
